Component Name,Price ($),Rating,Performance,Purpose,Compatibility,Category_GPU,Category_Monitor,Category_Motherboard,Category_RAM,Category_Storage
AMD Ryzen 9 5950X,0.65,0.7999999999999989,High,Gaming,"High-end GPUs, X570 MB",0.0,0.0,0.0,0.0,0.0
Intel Core i9-11900K,0.44000000000000006,0.3999999999999986,High,Content Creation,"High-end GPUs, Z590 MB",0.0,0.0,0.0,0.0,0.0
Intel Core i7-11700K,0.30000000000000004,0.5999999999999996,Mid,Multitasking,"Mid-range GPUs, Z590 MB",0.0,0.0,0.0,0.0,0.0
AMD Ryzen 5 5600X,0.19999999999999998,0.1999999999999993,Mid,General Use,"Mid-range GPUs, B550 MB",0.0,0.0,0.0,0.0,0.0
MSI MAG B550 TOMAHAWK,0.09,0.3999999999999986,High,Gaming,Ryzen CPUs,0.0,0.0,1.0,0.0,0.0
ASRock B450 Steel Legend,0.03,0.0,Mid,Content Creation,Ryzen CPUs,0.0,0.0,1.0,0.0,0.0
ASUS ROG Strix X570-E Gaming,0.22,0.5999999999999996,High,Multitasking,Ryzen CPUs,0.0,0.0,1.0,0.0,0.0
GIGABYTE B550 AORUS PRO,0.09,0.0,Mid,General Use,Ryzen CPUs,0.0,0.0,1.0,0.0,0.0
NVIDIA GeForce RTX 3060 Ti,0.4,0.5999999999999996,Mid,Gaming,"Mid-range CPUs, 650W PSU",1.0,0.0,0.0,0.0,0.0
AMD Radeon RX 6700 XT,0.48,0.3999999999999986,Mid,Content Creation,"Mid-range CPUs, 650W PSU",1.0,0.0,0.0,0.0,0.0
NVIDIA GeForce RTX 3080,1.0,0.7999999999999989,High,Multitasking,"High-end CPUs, 750W PSU",1.0,0.0,0.0,0.0,0.0
AMD Radeon RX 6800 XT,0.7000000000000001,0.3999999999999986,High,General Use,"High-end CPUs, 750W PSU",1.0,0.0,0.0,0.0,0.0
Crucial Ballistix 32GB,0.04999999999999999,0.3999999999999986,High,Gaming,All Motherboards,0.0,0.0,0.0,1.0,0.0
Corsair Vengeance LPX,0.03,0.1999999999999993,Mid,Content Creation,All Motherboards,0.0,0.0,0.0,1.0,0.0
Corsair Vengeance RGB Pro,0.07,1.0,High,Multitasking,All Motherboards,0.0,0.0,0.0,1.0,0.0
G.SKILL Trident Z Neo,0.09,0.5999999999999996,High,General Use,Ryzen Builds,0.0,0.0,0.0,1.0,0.0
Crucial MX500,0.0,0.7999999999999989,Mid,Gaming,All Systems,0.0,0.0,0.0,0.0,1.0
Samsung 970 EVO Plus,0.07999999999999999,1.0,High,Content Creation,All Systems,0.0,0.0,0.0,0.0,1.0
Crucial MX500,0.0,0.7999999999999989,Mid,Multitasking,All Systems,0.0,0.0,0.0,0.0,1.0
Samsung 970 EVO Plus,0.07999999999999999,1.0,High,General Use,All Systems,0.0,0.0,0.0,0.0,1.0
Dell S2721DGF,0.35,0.5999999999999996,High,Gaming,All Systems,0.0,1.0,0.0,0.0,0.0
AOC CQ32G1,0.19999999999999998,0.1999999999999993,Mid,Content Creation,All Systems,0.0,1.0,0.0,0.0,0.0
